#,Country,Name of Organization,Bitcoin Held,Value USD,% of 21M
79,🇯🇵,S-Science 5721,₿ 296,$23M,0.001%
80,🇨🇳,The9 Limited NCTY,₿ 285,$22M,0.001%
81,🇨🇦,LQWD Technologies Corp. LQWD,₿ 253,$19M,0.001%
82,🇯🇪,Coinshares International Limited CS,₿ 236,$18M,0.001%
83,🇰🇷,WEMADE 112040,₿ 223,$17M,0.001%
84,🇪🇸,"Vanadi Coffee, SA VANA",₿ 213,$16M,0.001%
85,🇨🇦,Rumble Inc. RUM,₿ 211,$16M,0.001%
86,🇰🇷,Parataxis Korea 288330,₿ 200,$15M,0.001%
87,🇵🇱,BTCS S.A. 36C,₿ 199,$15M,0.001%
88,🇺🇸,BitMine BMNR Buy,₿ 193,$15M,0.001%
89,🇬🇮,Coinsilium COIN,₿ 182,$14M,0.001%
90,🇨🇦,Matador Technologies Inc MATA,₿ 175,$13M,0.001%
91,🇸🇪,Bitcoin Treasury Capital BTCB,₿ 167,$13M,0.001%
92,🇬🇧,B HODL HODL,₿ 165,$13M,0.001%
93,🇹🇭,The Brooker Group BTC,₿ 165,$13M,0.001%
94,🇺🇸,FRMO Corp. FRMO,₿ 159,$12M,0.001%
95,🇨🇦,Sixty-Six Capital Inc SIX,₿ 149,$11M,0.001%
96,🇳🇴,K33 AB K33,₿ 141,$11M,0.001%
97,🇬🇧,Vaultz Capital V3TC,₿ 135,$10M,0.001%
98,🇺🇸,Horizon Kinetics Holding Corp HKHC,₿ 132,$10M,0.001%
99,🇯🇵,Mac House 7603,₿ 125,$10M,0.001%
100,🇺🇸,Bitcoin Depot BTM,₿ 108,$8M,0.001%
101,🇰🇷,Neowiz holdings 042420,₿ 104,$8M,0.000%
102,🇨🇳,Jiuzi Holdings Inc JZXN,₿ 100,$8M,0.000%
103,🇬🇧,Phoenix Digital Assets PNIX,₿ 99,$8M,0.000%
104,🇸🇬,Lion Group Holding LGHL,₿ 88,$7M,0.000%
105,🇺🇸,K Wave Media KWM,₿ 88,$7M,0.000%
106,🇨🇦,Belgravia Hartford Capital Inc. BLGV,₿ 83,$6M,0.000%
107,🇺🇸,Winland Holdings Corporation WELX,₿ 82,$6M,0.000%
108,🇯🇵,Gumi Inc 3903,₿ 80,$6M,0.000%
109,🇬🇧,London Bitcoin Company (formerly Vinanz) BTC,₿ 80,$6M,0.000%
110,🇭🇰,YUXING 8005,₿ 78,$6M,0.000%
111,🇹🇭,RSXYZ PCL XYZ,₿ 75,$6M,0.000%
112,🇺🇸,"Circle Internet Group, Inc. CRCL",₿ 73,$6M,0.000%
113,🇨🇦,Bitcoin Well Inc BTCW,₿ 69,$5M,0.000%
114,🇬🇧,Stack BTC Plc STAK,₿ 68,$5M,0.000%
115,🇨🇦,BIGG Digital Assets Inc. BIGG,₿ 68,$5M,0.000%
116,🇯🇵,SBC Medical Group Holdings Inc SBC,₿ 66,$5M,0.000%
117,🇳🇴,ACE Digital ACED,₿ 59,$5M,0.000%
118,🇩🇪,ATAI Life Sciences N.V. ATAI,₿ 58,$4M,0.000%
119,🇬🇧,XCE-Connecting Excellence Group XCE,₿ 53,$4M,0.000%
120,🇨🇦,Cathedra Bitcoin Inc. CBIT,₿ 53,$4M,0.000%
121,🇨🇦,Mogo Inc. MOGO,₿ 50,$4M,0.000%
122,🇨🇳,"Linekong Interactive Group Co., Ltd 8267",₿ 44,$3M,0.000%
123,🇺🇸,Robin Energy RBNE,₿ 44,$3M,0.000%
124,🇺🇸,LiveOne Inc LVO,₿ 43,$3M,0.000%
125,🇭🇰,Moon Inc 1723,₿ 42,$3M,0.000%
126,🇨🇦,WonderFi WNDR,₿ 40,$3M,0.000%
127,🇵🇦,Autris AUTR,₿ 36,$3M,0.000%
128,🇨🇦,SATO Technologies Corp SATO,₿ 36,$3M,0.000%
129,🇫🇷,Crypto Blockchain Industries ALCBI,₿ 31,$2M,0.000%
130,🇩🇪,aifinyo AG EBEN,₿ 31,$2M,0.000%
131,🇯🇵,"Value Creation Co., Ltd. 9238",₿ 30,$2M,0.000%
132,🇭🇰,AsiaStrategy SORA,₿ 30,$2M,0.000%
133,🇯🇵,Lib Work 1431,₿ 30,$2M,0.000%
134,🇸🇪,Fragbite Group FRAG,₿ 29,$2M,0.000%
135,🇨🇦,Planet Ventures Inc. PXI,₿ 29,$2M,0.000%
136,🇫🇷,BD Multimedia ALBDM,₿ 27,$2M,0.000%
137,🇨🇦,Goodfood Market Corp FOOD,₿ 25,$2M,0.000%
138,🇯🇵,AI Fusion Capital Group Corp. 254A,₿ 25,$2M,0.000%
139,🇨🇦,Kontrol Technologies KNR,₿ 24,$2M,0.000%
140,🇺🇸,Sphere 3D ANY,₿ 23,$2M,0.000%
141,🇨🇦,DevvStream DEVS,₿ 22,$2M,0.000%
142,🇮🇳,Jetking Infotrain Ltd. JETKINGQ,₿ 21,$2M,0.000%
143,🇲🇽,Murano Global Investments Plc MRNO,₿ 21,$2M,0.000%
144,🇺🇸,"Investview, Inc. INVU",₿ 20,$2M,0.000%
145,🇬🇧,Hamak Gold HAMA,₿ 20,$2M,0.000%
146,🇬🇧,Falconedge EDGE,₿ 19,$1M,0.000%
147,🇺🇸,Thumzup Media Corporation TZUP,₿ 19,$1M,0.000%
148,🇺🇸,BIT Mining Limited BTCM,₿ 19,$1M,0.000%
149,🇺🇸,CDT Equity Inc CDT,₿ 18,$1M,0.000%
150,🇯🇵,MBK 3121,₿ 18,$1M,0.000%
151,🇨🇦,Digihost Technology Inc. DGHI,₿ 17,$1M,0.000%
152,🇺🇸,Athena Bitcoin Global ABIT,₿ 17,$1M,0.000%
153,🇳🇴,Norwegian Block Exchange NBX,₿ 16,$1M,0.000%
154,🇺🇸,iPower inc IPW,₿ 15,$1M,0.000%
155,🇺🇸,TeraWulf WULF,₿ 15,$1M,0.000%
156,🇨🇳,Intchains Group Limited ICG,₿ 13,$1M,0.000%
157,🇦🇺,Locate Technologies LOC,₿ 12,$1M,0.000%
158,🇸🇪,Goobit Group BTCX,₿ 12,$1M,0.000%
159,🇹🇭,Ziga Innovation ZIGA,₿ 11,$1M,0.000%
160,🇮🇹,Intesa Sanpaolo ISP,₿ 11,$1M,0.000%
161,🇨🇦,Digital Commodities Capital Corp. DIGI,₿ 11,$1M,0.000%
162,🇺🇸,Lixte Biotechnology Holdings Inc LIXT,₿ 11,$1M,0.000%
163,🇺🇸,OneMedNet Corp. ONMD,₿ 10,$1M,0.000%
164,🇭🇰,Walnut Capital Ltd. 0905,₿ 10,$1M,0.000%
165,🇭🇰,BitStrat Holdings Ltd 6113,₿ 10,$1M,0.000%
166,🇬🇧,Blue Star Capital BLU,₿ 9,$1M,0.000%
167,🇹🇭,Jasmine International PCL JAS,₿ 9,$1M,0.000%
168,🇬🇧,GSTechnologies Ltd GST,₿ 9,$1M,0.000%
