#,Country,Name of Organization,Bitcoin Held,Value USD,% of 21M
34,🇸🇬,Canaan Inc. CAN,"₿ 1,808",$135M,0.009%
35,🇸🇬,BitFuFu Inc. FUFU,"₿ 1,794",$134M,0.009%
36,🇯🇵,"NEXON Co., Ltd. 3659","₿ 1,717",$128M,0.008%
37,🇺🇸,Cipher Mining CIFR,"₿ 1,500",$112M,0.007%
38,🇯🇵,Anap Holdings Inc. 3189,"₿ 1,422",$106M,0.007%
39,🇯🇵,Remixpoint 3825,"₿ 1,411",$105M,0.007%
40,🇳🇱,Treasury TRSR,"₿ 1,111",$83M,0.005%
41,🇸🇪,H100 Group H100,"₿ 1,051",$79M,0.005%
42,🇮🇱,ZOOZ Power ZOOZ,"₿ 1,036",$77M,0.005%
43,🇺🇸,Cango Inc CANG,"₿ 1,026",$77M,0.005%
44,🇺🇸,KULR Technology Group KULR,"₿ 1,021",$76M,0.005%
45,🇨🇳,Nano Labs NA,"₿ 1,000",$75M,0.005%
46,🇺🇸,"USBC, Inc. USBC","₿ 1,000",$75M,0.005%
47,🇭🇰,Ming Shing Group MSW,₿ 833,$62M,0.004%
48,🇺🇸,Fold Holdings Inc. FLD,₿ 827,$62M,0.004%
49,🇨🇳,Yueda Digital Holdings YDKG,₿ 819,$61M,0.004%
50,🇨🇳,SOS Limited SOS,₿ 803,$60M,0.004%
51,🇺🇸,Figma Inc FIG Buy,₿ 767,$57M,0.004%
52,🇯🇵,Convano Inc 6574,₿ 763,$57M,0.004%
53,🇨🇦,Bitcoin Treasury Corp BTCT,₿ 759,$57M,0.004%
54,🇳🇴,Aker ASA AKER,₿ 754,$56M,0.004%
55,🇭🇰,CIMG Inc IMG,₿ 730,$55M,0.003%
56,🇬🇧,Satsuma Technology SATS,₿ 646,$48M,0.003%
57,🇺🇸,Hyperscale Data GPUS,₿ 645,$48M,0.003%
58,🇺🇸,"Exodus Movement, Inc EXOD",₿ 610,$46M,0.003%
59,🇧🇷,Méliuz MLIZY,₿ 605,$45M,0.003%
60,🇦🇷,"MercadoLibre, Inc. MELI Buy",₿ 570,$43M,0.003%
61,🇰🇷,bitmax 377030,₿ 551,$41M,0.003%
62,🇺🇸,"Alliance Resource Partners, L.P. ARLP",₿ 541,$40M,0.003%
63,🇲🇹,Samara Asset Group SRAG,₿ 540,$40M,0.003%
64,🇺🇸,"Figure Technology Solutions, Inc FIGR",₿ 527,$39M,0.003%
